week_number,search_sessions,search_purchases,ad_clicks,ad_purchases,social_views,social_clicks,social_purchases,audience_avg_age,audience_male_percent,ad_budget,category,total_purchases,performance
1,892,55,956,53,3939,360,22,25.4,68.8,13430.0,Base,130,Flop
2,1271,93,1374,70,5401,398,21,26.8,67.6,14999.0,Base,184,Hit
3,976,50,947,51,5591,444,24,28.0,66.5,14126.0,Base,125,Flop
4,1394,101,1347,95,7520,740,51,28.9,65.4,10666.0,Base,247,Hit
5,1391,98,1207,94,6257,532,30,29.6,64.3,15418.0,Base,222,Hit
6,1384,76,832,55,5088,377,24,30.0,63.4,12859.0,Base,155,Hit
7,1627,94,1472,100,7980,767,52,30.0,62.5,6295.0,Base,246,Hit
8,1269,83,1292,72,9171,698,49,29.6,61.8,3000.0,Base,204,Hit
9,1381,97,1348,89,7972,779,46,28.9,61.1,5940.0,Base,232,Hit
10,1350,107,1116,62,6932,670,39,28.0,60.6,10002.5,Base,208,Hit
11,1239,90,1075,68,7993,592,31,26.8,60.3,6643.0,Base,189,Hit
12,1256,84,1091,65,9826,919,51,25.4,60.1,3794.0,Base,200,Hit
13,1022,77,614,33,6258,523,32,24.0,60.0,7122.0,Base,142,Hit
14,1081,60,841,47,6082,451,31,22.6,60.1,15581.0,Base,138,Flop
15,1115,65,1010,73,7970,770,44,21.2,60.3,15326.0,Base,182,Hit
16,1224,92,1242,77,10047,805,54,20.0,60.6,16723.0,Base,223,Hit
17,1250,88,973,61,6651,529,34,19.1,61.1,20121.0,Base,183,Hit
18,1078,62,868,56,9080,746,49,18.4,61.8,13702.0,Base,167,Hit
19,949,49,842,53,5095,430,29,18.0,62.5,5194.0,Base,131,Flop
20,1246,68,1115,60,5685,461,23,18.0,63.4,9805.0,Base,151,Hit
21,1360,77,1305,98,4908,412,22,18.4,64.3,10198.0,Base,197,Hit
22,1182,76,943,64,5677,406,24,19.1,65.4,11504.0,Base,164,Hit
23,1400,78,1483,109,5979,452,29,20.0,66.5,3000.0,Base,216,Hit
24,1373,98,1485,109,4969,494,29,21.2,67.6,3000.0,Base,236,Hit
25,853,43,611,47,4101,327,20,22.6,68.8,5559.0,Base,110,Flop
26,1182,72,1137,86,4070,306,17,24.0,70.0,6838.0,Base,175,Hit
27,1092,71,1149,68,7697,652,43,25.4,71.2,10386.0,Base,182,Hit
28,1131,57,1020,59,6699,473,26,26.8,72.4,13559.0,Base,142,Hit
29,961,65,880,64,3884,311,18,28.0,73.5,11360.0,Base,147,Hit
30,957,52,1023,74,6437,456,24,28.9,74.6,20786.0,Base,150,Hit
31,606,37,621,48,3604,346,23,29.6,75.7,13639.0,Base,108,Flop
32,814,56,724,53,4554,419,24,30.0,76.6,10944.0,Base,133,Flop
33,702,51,710,38,3312,263,13,30.0,77.5,10290.0,Base,102,Flop
34,707,47,464,27,4704,384,20,29.6,78.2,6797.0,Base,94,Flop
35,595,34,584,33,3145,252,17,28.9,78.9,12322.5,Base,84,Flop
36,697,37,636,47,3486,253,15,28.0,79.4,9467.0,Base,99,Flop
37,385,20,260,14,2843,264,17,26.8,79.7,5234.0,Base,51,Flop
38,639,38,409,22,4163,367,25,25.4,79.9,3826.0,Base,85,Flop
39,764,53,636,33,3247,241,14,24.0,80.0,11157.0,Base,100,Flop
40,759,38,751,39,3229,229,14,22.6,79.9,11269.0,Base,91,Flop
41,765,43,740,49,4250,359,18,21.2,79.7,12550.0,Base,110,Flop
42,816,64,823,44,5585,465,25,20.0,79.4,11759.0,Base,133,Flop
43,520,40,356,26,2585,186,12,19.1,78.9,15960.0,Base,78,Flop
44,995,72,1067,77,3580,286,17,18.4,78.2,12794.0,Base,166,Hit
45,930,56,695,53,3938,379,24,18.0,77.5,12744.0,Base,133,Flop
